Date,Country_Region,Province_State,Lat,Long,Confirmed,Recovered,Deaths
4/1/2020,Malawi,,-13.254308,34.301525,0,0,0
4/1/2020,Malaysia,,2.5,112.5,2908,645,45
4/1/2020,Maldives,,3.2028,73.2207,19,13,0
4/1/2020,Mali,,17.570692,-3.996166,31,0,3
4/1/2020,Malta,,35.9375,14.3754,188,2,0
4/1/2020,Mauritania,,21.0079,10.9408,6,2,1
4/1/2020,Mauritius,,-20.2,57.5,161,0,6
4/1/2020,Mexico,,23.6345,-102.5528,1215,35,29
4/1/2020,Moldova,,47.4116,28.3699,423,23,5
4/1/2020,Monaco,,43.7333,7.4167,55,2,1
4/1/2020,Mongolia,,46.8625,103.8467,14,2,0
4/1/2020,Montenegro,,42.5,19.3,123,0,2
4/1/2020,Morocco,,31.7917,-7.0926,654,29,39
4/1/2020,Mozambique,,-18.665695,35.529562,10,0,0
4/1/2020,Namibia,,-22.9576,18.4904,14,2,0
4/1/2020,Nepal,,28.1667,84.25,5,1,0
4/1/2020,Netherlands,,52.1326,5.2913,13614,250,1173
4/1/2020,Netherlands,Aruba,12.5186,-70.0358,55,1,0
4/1/2020,Netherlands,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,0,0,0
4/1/2020,Netherlands,Curacao,12.1696,-68.99,11,3,1
4/1/2020,Netherlands,Sint Maarten,18.0425,-63.0548,16,6,1
4/1/2020,New Zealand,,-40.9006,174.886,708,83,1
4/1/2020,Nicaragua,,12.8654,-85.2072,5,0,1
4/1/2020,Niger,,17.6078,8.0817,74,0,5
4/1/2020,Nigeria,,9.082,8.6753,174,9,2
4/1/2020,North Macedonia,,41.6086,21.7453,354,17,11
4/1/2020,Norway,,60.472,8.4689,4863,13,44
4/1/2020,Oman,,21,57,210,34,1
4/1/2020,Pakistan,,30.3753,69.3451,2118,94,27
4/1/2020,Panama,,8.538,-80.7821,1181,9,30
4/1/2020,Papua New Guinea,,-6.315,143.9555,1,0,0
4/1/2020,Paraguay,,-23.4425,-58.4438,69,1,3
4/1/2020,Peru,,-9.19,-75.0152,1323,394,38
4/1/2020,Philippines,,13,122,2311,50,96
4/1/2020,Poland,,51.9194,19.1451,2554,47,43
4/1/2020,Portugal,,39.3999,-8.2245,8251,43,187
4/1/2020,Qatar,,25.3548,51.1839,835,71,2
4/1/2020,Romania,,45.9432,24.9668,2460,252,92
4/1/2020,Russia,,60,90,2777,190,24
4/1/2020,Rwanda,,-1.9403,29.8739,82,0,0
4/1/2020,Saint Kitts and Nevis,,17.357822,-62.782998,8,0,0
4/1/2020,Saint Lucia,,13.9094,-60.9789,13,1,0
4/1/2020,Saint Vincent and the Grenadines,,12.9843,-61.2872,1,1,0
